x,y,vx,vy,rho,p,neighbor_count
1.640000001e+00,3.000083429e-02,1.264343320e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.650000001e+00,3.000083429e-02,1.264343258e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.660000001e+00,3.000083429e-02,1.264343304e-05,5.487919557e-03,1.002968205e+03,2.968204682e+05,36
1.670000001e+00,3.000083429e-02,1.264343475e-05,5.487919557e-03,1.002968205e+03,2.968204682e+05,36
1.680000001e+00,3.000083429e-02,1.264343541e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.690000001e+00,3.000083429e-02,1.264343492e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.700000001e+00,3.000083429e-02,1.264343445e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.710000001e+00,3.000083429e-02,1.264343410e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.720000001e+00,3.000083429e-02,1.264343390e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.730000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.740000001e+00,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.750000001e+00,3.000083429e-02,1.264343377e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.760000001e+00,3.000083429e-02,1.264343317e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.770000001e+00,3.000083429e-02,1.264342832e-05,5.487919554e-03,1.002968205e+03,2.968204682e+05,36
1.780000001e+00,3.000083429e-02,1.264338871e-05,5.487919538e-03,1.002968205e+03,2.968204682e+05,36
1.790000001e+00,3.000083429e-02,1.264308344e-05,5.487919416e-03,1.002968205e+03,2.968204683e+05,36
1.800000001e+00,3.000083429e-02,1.264089369e-05,5.487918506e-03,1.002968205e+03,2.968204687e+05,36
1.810000001e+00,3.000083429e-02,1.262598073e-05,5.487912054e-03,1.002968205e+03,2.968204717e+05,36
1.820000001e+00,3.000083429e-02,1.252532734e-05,5.487866524e-03,1.002968205e+03,2.968204918e+05,36
1.830000001e+00,3.000083429e-02,1.187937856e-05,5.487554404e-03,1.002968206e+03,2.968206140e+05,36
1.840000001e+00,3.000083427e-02,8.246828718e-06,5.485645889e-03,1.002968214e+03,2.968213715e+05,36
1.850000001e+00,3.000083421e-02,-9.416156686e-06,5.475444445e-03,1.002968260e+03,2.968260166e+05,36
1.860000001e+00,3.000083386e-02,-9.138563857e-05,5.422495311e-03,1.002968498e+03,2.968498205e+05,36
1.869999998e+00,3.000083183e-02,-4.644459740e-04,5.142237832e-03,1.002969441e+03,2.969440702e+05,36
1.879999987e+00,3.000082189e-02,-1.852169725e-03,3.860969091e-03,1.002972560e+03,2.972560007e+05,36
1.889999958e+00,3.000078633e-02,-5.394823281e-03,-4.885904452e-04,1.002982545e+03,2.982545439e+05,36
1.899999918e+00,3.000069492e-02,-1.059576536e-02,-1.103990344e-02,1.003009451e+03,3.009451181e+05,36
1.910000033e+00,3.000054037e-02,-6.353691791e-03,-2.827087646e-02,1.003060964e+03,3.060963698e+05,36
1.920001324e+00,3.000057237e-02,6.250534461e-02,-3.354041873e-02,1.003194683e+03,3.194683381e+05,36
1.930003920e+00,3.000133165e-02,9.289951169e-02,-2.958962634e-03,1.003353884e+03,3.353884323e+05,36
1.939992969e+00,2.999767706e-02,-1.248054704e+00,-3.153929540e-01,1.002660595e+03,2.660595015e+05,35
1.949995566e+00,2.998124546e-02,-6.451898473e+00,-1.223940425e+00,1.025416496e+03,2.541649626e+06,36
1.960501433e+00,2.999981296e-02,-1.180367430e+01,-4.638771663e-01,1.112890207e+03,1.128902070e+07,32
1.973717241e+00,2.970542504e-02,2.038750324e+01,-6.951055466e+00,1.068673764e+03,6.867376417e+06,31
1.994703952e+00,3.091580724e-02,4.990187649e+01,3.094378347e+01,7.164553035e+02,-2.835446965e+07,29
6.513491905e-03,4.314658080e-02,1.254312492e+02,6.279817273e+01,8.583977568e+02,-1.416022432e+07,26
1.928366656e+00,8.572566293e-02,-4.074516561e+02,3.156030815e+02,1.179644428e+03,1.796444279e+07,34
3.462040079e-02,3.214007538e-02,2.112848060e+02,-4.655946753e+01,1.143305530e+03,1.433055298e+07,32
1.984597958e+00,2.885738770e-02,-1.464580625e+02,-6.088164925e+01,8.817117376e+02,-1.182882624e+07,30
4.976010438e-03,3.488127087e-02,-5.982890566e+01,-2.457863701e+01,7.965851059e+02,-2.034148941e+07,27
2.733997628e-02,3.861138682e-02,-7.236567319e+00,-1.133033145e+01,1.082540954e+03,8.254095358e+06,31
3.976574000e-02,3.978979777e-02,1.417434348e+01,3.059765802e-01,1.100982766e+03,1.009827662e+07,35
5.003035549e-02,3.998732373e-02,6.197111000e+00,5.913680967e-01,1.017642700e+03,1.764270035e+06,36
6.000375808e-02,3.999455052e-02,1.008952212e+00,-1.333738739e-01,1.002828049e+03,2.828048838e+05,34
6.999573159e-02,3.999279628e-02,-1.268162671e-01,-3.917690084e-01,1.004227795e+03,4.227794709e+05,35
8.000001559e-02,3.999624478e-02,1.459689311e-02,-2.664492480e-01,1.003897841e+03,3.897841259e+05,36
9.000071139e-02,3.999888189e-02,6.438479395e-02,-1.173058819e-01,1.003502392e+03,3.502392335e+05,36
1.000003749e-01,3.999982359e-02,4.037329822e-02,-4.407659372e-02,1.003203449e+03,3.203448988e+05,36
1.100001517e-01,4.000011886e-02,1.800880608e-02,-1.350952521e-02,1.003054251e+03,3.054250851e+05,36
1.200000475e-01,4.000021348e-02,5.902416252e-03,-2.223200918e-03,1.003009658e+03,3.009657840e+05,36
1.300000118e-01,4.000023857e-02,1.434339487e-03,9.874513825e-04,1.002999920e+03,2.999920341e+05,36
1.400000032e-01,4.000024354e-02,2.906195942e-04,1.664495843e-03,1.002997630e+03,2.997629838e+05,36
1.500000016e-01,4.000024431e-02,6.501574110e-05,1.778719703e-03,1.002997072e+03,2.997071760e+05,36
1.600000014e-01,4.000024443e-02,2.252667685e-05,1.797474342e-03,1.002996963e+03,2.996963068e+05,36
1.700000013e-01,4.000024445e-02,1.431808205e-05,1.800681550e-03,1.002996946e+03,2.996945989e+05,36
1.800000013e-01,4.000024445e-02,1.289536142e-05,1.801185236e-03,1.002996943e+03,2.996943438e+05,36
1.900000013e-01,4.000024445e-02,1.267885692e-05,1.801255949e-03,1.002996943e+03,2.996943036e+05,36
2.000000013e-01,4.000024445e-02,1.264789737e-05,1.801265392e-03,1.002996943e+03,2.996942977e+05,36
2.100000013e-01,4.000024445e-02,1.264348345e-05,1.801266655e-03,1.002996943e+03,2.996942969e+05,36
2.200000013e-01,4.000024445e-02,1.264287880e-05,1.801266818e-03,1.002996943e+03,2.996942968e+05,36
2.300000013e-01,4.000024445e-02,1.264280093e-05,1.801266838e-03,1.002996943e+03,2.996942968e+05,36
2.400000013e-01,4.000024445e-02,1.264279157e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
2.500000013e-01,4.000024445e-02,1.264279061e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
2.600000013e-01,4.000024445e-02,1.264279043e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
2.700000013e-01,4.000024445e-02,1.264279014e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
2.800000013e-01,4.000024445e-02,1.264279013e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
2.900000013e-01,4.000024445e-02,1.264279048e-05,1.801266841e-03,1.002996943e+03,2.996942968e+05,36
3.000000013e-01,4.000024445e-02,1.264279054e-05,1.801266840e-03,1.002996943e+03,2.996942968e+05,36
