x,y,vx,vy,rho,pressure,neighbor_count
4.640413235e-01,2.646049481e-01,1.217692909e+01,-2.633468834e-01,1.001537694e+03,7.523503814e+04,16
4.839690652e-01,2.718380206e-01,1.393984652e+01,-1.240526297e+00,1.003390403e+03,1.109491269e+05,13
4.933530300e-01,2.722816001e-01,1.230360314e+01,2.606068269e-01,9.984272804e+02,-4.482826915e+04,13
5.634494394e-01,3.095229733e-01,1.425824509e+01,8.007597929e-01,1.006286903e+03,3.575420617e+04,8
5.644937604e-01,2.778649347e-01,1.296597783e+01,3.872217750e+00,9.971520755e+02,2.727822933e+04,8
4.500000000e-06,3.144789535e-01,0.000000000e+00,-1.123837275e-02,1.004971795e+03,1.484717447e+06,12
1.164733790e-01,3.139291960e-01,3.634627470e+00,-8.791712899e+00,1.007658820e+03,4.571578672e+05,12
1.444179755e-01,2.834617383e-01,4.175399324e+00,-5.581532674e+00,9.969478712e+02,-3.090143893e+05,11
2.216333983e-01,3.119223704e-01,3.882099686e+00,6.990609303e-01,9.854994727e+02,-1.537227546e+05,13
2.485646301e-01,2.911180795e-01,6.745380152e+00,3.308449594e+00,1.007289275e+03,3.100466403e+04,15
2.617259875e-01,3.025133534e-01,2.829798345e+00,1.337670337e+00,9.947274032e+02,-7.249011550e+04,16
3.279665924e-01,3.027515925e-01,1.259867883e+01,-1.424854207e+00,1.001531256e+03,2.459700762e+04,13
3.553385691e-01,3.175139251e-01,8.388867697e+00,-8.196631299e-02,1.007156035e+03,2.349078074e+05,11
3.790036170e-01,2.980809198e-01,8.687610220e+00,3.569308057e-01,9.965986492e+02,-5.324687528e+04,15
4.198213655e-01,3.023643803e-01,1.312744075e+01,-1.285300666e+00,1.002599461e+03,8.821323623e+04,15
4.436517913e-01,2.784478249e-01,1.403600150e+01,-1.843670932e+00,9.941545018e+02,-2.285080031e+05,17
4.636369758e-01,3.381892883e-01,1.443971423e+01,1.450812719e+00,1.002022355e+03,9.236286654e+04,16
4.852764343e-01,3.244067960e-01,1.337232815e+01,9.986379969e-01,9.932166240e+02,-1.781094392e+05,14
4.935896907e-01,3.160086696e-01,9.801919811e+00,-3.061353265e+00,1.004334571e+03,1.368657394e+05,12
5.675323139e-01,2.828413914e-01,1.153123252e+01,-1.095765945e+00,9.971173331e+02,-1.018989717e+05,8
5.651431181e-01,3.305562070e-01,1.410676985e+01,-1.143212375e+00,1.009475919e+03,-1.976369035e+05,6
4.500000000e-06,3.439145930e-01,0.000000000e+00,-1.566419683e-02,1.005099440e+03,1.495888789e+06,13
1.196939596e-01,3.139522816e-01,2.889945782e+00,-7.846852952e+00,9.999433198e+02,1.512447245e+05,13
1.438288975e-01,3.109160894e-01,1.747113716e+00,-6.461313855e-02,9.998896943e+02,-1.904907701e+05,12
2.024735118e-01,2.981362219e-01,4.417397834e+00,-1.661075413e+00,9.874803726e+02,8.514729400e+04,10
2.499305302e-01,3.254672680e-01,6.639057143e+00,-4.144508470e+00,9.941800932e+02,-2.203147954e+05,15
2.858942943e-01,3.009795524e-01,5.379400537e+00,-2.459725331e+00,9.971810644e+02,-4.467184169e+04,16
3.087341091e-01,3.179290011e-01,9.627048882e+00,-3.155106610e+00,1.001292213e+03,1.271212890e+05,14
3.372659627e-01,3.156237280e-01,1.015414647e+01,1.866835515e+00,9.950452962e+02,-4.587248771e+04,12
3.791570234e-01,3.234072065e-01,1.134007268e+01,9.510680119e-01,9.958190351e+02,-6.943923095e+04,14
3.954973969e-01,3.204151442e-01,8.920290266e+00,-7.683417597e-01,1.002430237e+03,9.816769889e+04,14
4.495801229e-01,3.160275148e-01,1.188869661e+01,-1.932391499e+00,9.993346994e+02,-1.185548864e+04,16
4.597676306e-01,3.066771533e-01,1.066698861e+01,1.266924589e+00,1.001065600e+03,7.783983164e+04,17
4.929773607e-01,3.421707791e-01,1.051658159e+01,1.784316354e+00,1.006165722e+03,2.260461709e+05,12
4.829273129e-01,2.941583475e-01,1.057185880e+01,1.005407979e+00,9.984118265e+02,-4.768160608e+04,13
5.177467785e-01,3.392154081e-01,1.463373805e+01,-7.189796414e-02,9.978968777e+02,-4.190433826e+04,10
5.541932404e-01,2.892279477e-01,1.188650284e+01,-7.176582354e-03,9.970973835e+02,-4.577613711e+03,9
4.500000000e-06,3.730904912e-01,0.000000000e+00,-2.292172946e-02,1.004865561e+03,1.477651323e+06,12
7.115710992e-02,3.439016120e-01,3.310598920e+00,-6.498882383e+00,1.012567006e+03,1.056778060e+05,10
1.578242109e-01,3.424569719e-01,7.496575064e+00,6.506200863e+00,1.025451037e+03,-3.090143893e+05,11
