step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
88,0.04400000000000003,0.0005,1.1995036848845524,958.8304510128337,1000.136079415839,1034.8365481058777,0.0136079415838982,-20584.774493583154,68.03970791949092,17418.27405293884,3,9.54,12
89,0.04450000000000003,0.0005,1.1366954543480665,964.6192128208424,1001.1798795719473,1035.6149193050253,0.11798795719471161,-17690.393589578776,589.939785973558,17807.459652512647,5,9.6,12
90,0.04500000000000003,0.0005,1.188473196963677,980.667681222004,1003.4587973783786,1039.5221055117004,0.34587973783784953,-9666.159388997983,1729.398689189247,19761.052755850185,5,9.58,12
91,0.045500000000000033,0.0005,0.9458271669235926,985.1970096894532,1005.996082523369,1044.6893269530947,0.5996082523369172,-7401.49515527338,2998.0412616845865,22344.66347654734,5,9.62,12
92,0.046000000000000034,0.0005,0.8037772157013484,986.0407849875502,1007.6460462160128,1048.855742370647,0.7646046216012875,-6979.607506224909,3823.0231080064386,24427.87118532351,5,9.66,12
93,0.046500000000000034,0.0005,1.1818313638471463,987.6481876780496,1007.7548534656532,1048.21162852209,0.7754853465653186,-6175.906160975217,3877.426732826592,24105.814261044998,5,9.64,12
94,0.047000000000000035,0.0005,1.3464332440198592,987.5136515070592,1006.3966985461524,1040.3390899458313,0.6396698546152305,-6243.174246470403,3198.3492730761527,20169.544972915675,3,9.66,12
95,0.047500000000000035,0.0005,1.0838453920617217,970.5490751906209,1004.289545615341,1032.8860474728604,0.4289545615340883,-14725.462404689551,2144.7728076704416,16443.02373643018,3,9.6,12
96,0.048000000000000036,0.0005,0.9205738101695657,959.4730724213007,1002.4029954228607,1034.1148788477306,0.24029954228607514,-20263.46378934966,1201.4977114303758,17057.439423865275,3,9.62,12
97,0.048500000000000036,0.0005,1.0843349667142628,967.8291777263513,1001.3295999573933,1030.9157426487973,0.13295999573931633,-16085.411136824348,664.7999786965817,15457.871324398639,3,9.6,12
98,0.04900000000000004,0.0005,1.0112133432299824,979.3769847355009,1000.8898939922608,1023.8291600876175,0.08898939922606067,-10311.507632249573,444.94699613030315,11914.580043808768,3,9.54,12
